DEBUG: [2023-04-05 18:27:18,268]: __main__: 449 - DEBUG_MODE[True]
DEBUG: [2023-04-05 18:27:52,312]: __main__: 378 - BATTLE_MODE is now True
DEBUG: [2023-04-05 18:27:53,867]: __main__: 60 - original_distance = (66, -37)
DEBUG: [2023-04-05 18:27:53,868]: __main__: 64 - to_move = (13, -8)
DEBUG: [2023-04-05 18:27:54,016]: __main__: 64 - to_move = (9, -6)
DEBUG: [2023-04-05 18:27:54,094]: __main__: 64 - to_move = (7, -5)
DEBUG: [2023-04-05 18:27:54,254]: __main__: 64 - to_move = (6, -4)
DEBUG: [2023-04-05 18:27:54,327]: __main__: 64 - to_move = (5, -3)
DEBUG: [2023-04-05 18:27:54,519]: __main__: 64 - to_move = (4, -3)
DEBUG: [2023-04-05 18:27:54,669]: __main__: 64 - to_move = (3, -3)
DEBUG: [2023-04-05 18:27:54,826]: __main__: 64 - to_move = (3, -2)
DEBUG: [2023-04-05 18:27:54,972]: __main__: 64 - to_move = (3, -2)
DEBUG: [2023-04-05 18:27:55,057]: __main__: 64 - to_move = (2, -2)
DEBUG: [2023-04-05 18:27:55,186]: __main__: 64 - to_move = (2, -2)
DEBUG: [2023-04-05 18:27:55,324]: __main__: 64 - to_move = (2, -2)
DEBUG: [2023-04-05 18:27:55,466]: __main__: 64 - to_move = (2, -2)
DEBUG: [2023-04-05 18:27:55,566]: __main__: 64 - to_move = (2, -2)
DEBUG: [2023-04-05 18:27:55,739]: __main__: 64 - to_move = (2, -2)
DEBUG: [2023-04-05 18:27:55,847]: __main__: 64 - to_move = (1, -2)
DEBUG: [2023-04-05 18:27:56,044]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:27:56,142]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:27:56,314]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:27:56,423]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:27:56,570]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:27:56,687]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:27:56,821]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:27:56,971]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:27:57,067]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:27:57,200]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:27:57,319]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:27:57,463]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:27:57,670]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:27:57,800]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:27:57,940]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:27:58,038]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:27:58,127]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:27:58,252]: __main__: 64 - to_move = (0, -1)
